,,N2O,nir,nosZI,nosZII,amoA_bact,amoA_arch,nrfA,nifH,n-damo,comammox,,Land_use,Vegetation_type,,,,,,
French_Pyrenees_fen,,1.630020851,19.89,7.41,8.70,7.99,1.18,5.54,11.10,6.75,6.10,,fen,sedges,,,,,,
Iceland_drained_fen,,1.166504118,13.39,6.51,4.51,3.83,2.37,2.83,7.51,4.19,1.18,,pasture,sedges,,,,,,
Iceland_drained_fen_2,,1.154423973,16.76,7.80,9.15,5.75,5.55,5.12,9.52,5.44,5.70,,pasture,sedges,,,,,,
Iceland_fen_1,,1.173259131,17.92,7.69,7.95,5.31,4.86,5.98,9.84,5.98,3.21,,fen,sedges,,,,,,
Khabarovsk_drained_fen,,1.176091259,17.84,8.27,7.36,6.65,7.53,1.18,9.07,7.53,1.18,,pasture,sedges,,,,,,
Khabarovsk_fen,,1.176091259,15.93,8.13,1.18,7.78,5.45,4.78,9.20,5.98,1.18,,fen,sedges,,,,,,
Kyrgyzstan_drained_fen,,1.192567453,19.23,8.49,7.42,6.72,6.35,5.19,10.50,6.86,6.10,,pasture,sedges,,,,,,
Kyrgyzstan_fen_1,,1.167021796,18.61,7.46,7.80,5.10,3.00,5.51,10.30,6.71,4.85,,fen,sedges,,,,,,
Kyrgyzstan_fen_2,,1.17868924,18.94,7.63,7.85,5.63,3.35,5.84,10.70,7.08,3.30,,fen,sedges,,,,,,
Mexico_chinampa_1,,1.585986828,17.21,7.18,8.39,7.12,7.83,3.88,8.54,5.85,5.97,,arable,bare_soil,,,,,,
Mexico_chinampa_2,,1.730001243,17.53,7.50,7.95,8.00,8.07,4.98,8.79,5.08,5.90,,pasture,grasses,,,,,,
Mexico_fen,,1.279742969,19.28,8.37,8.89,7.26,7.31,5.59,9.82,6.89,7.17,,fen,sedges,,,,,,
Montana_Bog_1,,1.148602655,18.08,8.46,7.69,4.14,3.67,5.15,9.98,6.43,1.18,,bog,sedges,,,,,,
Montana_bog_2,,1.17016389,19.49,8.02,8.64,6.80,7.22,5.73,9.92,6.94,5.76,,pasture,sedges,,,,,,
Morocco_bog_1,,1.113274692,15.65,7.02,7.80,5.42,6.42,5.98,8.94,6.34,3.96,,bog,mosses,,,,,,
Morocco_bog_2,,1.178593295,17.20,7.79,8.32,4.78,7.61,5.41,9.24,6.29,4.25,,bog,mosses,,,,,,
Myanmar_drained_fen_1,,2.169953492,17.43,7.87,8.53,6.78,7.41,4.66,9.15,4.93,5.95,,arable,bare_soil,,,,,,
Myanmar_drained_fen_2,,1.775853071,18.76,8.50,9.22,7.06,8.38,5.23,9.65,6.76,6.27,,pasture,grasses,,,,,,
Myanmar_fen,,1.279324665,19.85,8.86,9.64,7.12,8.45,6.10,10.60,6.75,6.72,,fen,grasses,,,,,,
New_Zealand_drained_fen_1,,1.952259537,16.36,7.31,8.17,7.24,8.00,4.72,9.41,5.74,1.18,,pasture,sedges,,,,,,
New_Zealand_fen_1,,1.204662512,13.96,5.90,1.18,4.26,1.18,4.47,9.46,5.61,4.94,,fen,sedges,,,,,,
New_Zealand_fen_2,,1.253459164,17.87,7.43,7.72,6.74,6.54,5.09,9.88,5.60,2.99,,fen,sedges,,,,,,
Pantanal_pasture_1,,1.168644777,15.23,7.02,7.15,1.18,5.90,3.47,8.76,4.96,1.18,,pasture,herbs,,,,,,
Pantanal_pasture_2,,1.170555059,15.75,7.81,7.41,1.18,6.25,3.67,9.36,5.21,1.18,,pasture,herbs,,,,,,
Pantanal_pasture_3,,1.771587481,16.48,7.87,8.31,1.18,6.55,5.42,9.23,4.99,1.18,,pasture,herbs,,,,,,
Pantanal_swamp_forest,,1.169821329,17.05,7.73,7.94,1.18,5.04,4.41,9.34,5.58,1.18,,forest,tropical_forest,,,,,,
Quebec_drained_bog,,1.895477796,17.40,7.97,8.59,7.89,7.43,5.80,9.42,7.08,5.75,,pasture,herbs,,,,,,
Romania_bog_1,,1.177728836,12.08,7.51,1.18,4.90,1.18,3.66,8.79,5.89,5.08,,bog,mosses,,,,,,
Romania_bog_2,,1.176669933,10.30,7.52,3.55,4.84,1.18,3.28,9.12,5.99,2.61,,bog,mosses,,,,,,
Romania_bog_forest_1,,1.18591972,14.78,8.33,8.13,4.87,4.93,4.85,10.09,6.75,1.18,,forest,mosses,,,,,,
Romania_bog_forest_2,,1.267953537,12.65,8.00,7.85,5.60,5.79,5.55,9.83,7.04,3.74,,forest,mosses,,,,,,
Siberia_bog,,1.168006144,11.34,6.51,1.18,3.16,3.43,3.78,9.34,3.81,2.45,,bog,mosses,,,,,,
Siberia_bog_forest,,1.167391188,9.51,1.18,1.18,3.51,1.93,2.23,8.54,4.92,1.18,,forest,mosses,,,,,,
Siberia_fen,,1.178976947,17.31,8.40,8.60,6.14,5.71,4.44,9.56,7.31,5.99,,fen,sedges,,,,,,
Taiwan_fen,,1.146438135,17.82,7.81,8.23,5.78,8.11,6.07,9.86,6.65,5.75,,fen,grasses,,,,,,
Taiwan_recreation,,1.143951116,17.44,7.88,8.12,5.89,7.02,5.18,10.25,5.36,5.81,,NA,bare_soil,,,,,,
Tasmania_blanket_bog,,1.178976947,10.04,5.60,1.18,4.54,1.92,2.81,8.10,2.68,1.18,,bog,sedges,,,,,,
Tasmania_drained_fen_1,,1.367542274,14.92,8.45,7.11,6.76,5.71,3.81,8.43,5.49,1.18,,pasture,grasses,,,,,,
Tasmania_drained_fen_2,,1.406199424,18.44,8.27,8.51,8.22,6.96,4.36,8.40,5.52,7.00,,arable,bare_soil,,,,,,
Tasmania_fen,,1.203576775,17.62,8.03,8.63,6.92,7.30,5.44,9.85,7.10,6.03,,fen,sedges,,,,,,
Tasmania_raised_bog,,1.170750511,15.19,7.07,3.42,5.52,5.74,4.58,9.76,6.36,3.94,,peat_extract,bare_soil,,,,,,
Tierra_del_Fuego_bog,,1.217167979,10.99,4.98,5.28,4.21,4.60,4.53,8.78,5.54,1.18,,bog,mosses,,,,,,
Tierra_del_Fuego_fen,,1.176091259,18.54,8.41,7.96,5.57,4.68,5.80,10.07,7.01,2.50,,fen,grasses,,,,,,
Uganda_drained_fen_1,,2.680548528,17.94,8.32,8.87,6.41,8.40,5.59,10.10,6.62,5.16,,arable,bare_soil,,,,,,
Uganda_drained_fen_2,,2.331751125,18.72,8.61,9.12,6.96,8.18,5.69,10.03,6.68,5.86,,pasture,sedges,,,,,,
Uganda_fen,,1.466645228,17.33,8.79,8.38,5.94,8.45,5.24,10.14,6.61,5.02,,pasture,sedges,,,,,,
Uganda_rice_paddy,,2.754124632,17.96,7.87,7.88,5.65,6.91,4.90,9.28,5.43,5.60,,arable,bare_soil,,,,,,
Wales_blanket_bog,,1.176091259,16.50,8.41,7.45,6.01,8.06,6.49,10.70,6.28,5.90,,bog,mosses,,,,,,
Wales_drained_bog,,1.176091259,17.27,7.82,8.09,6.71,7.72,6.09,10.95,6.37,5.72,,bog,mosses,,,,,,
Wales_fen,,1.176091259,17.46,9.08,7.92,5.83,7.14,6.32,10.60,7.09,3.11,,pasture,sedges,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
